obs,action,reward,next_obs,done
"[1.0, 1.3, 1.1, -1.4, 1.5, 1.2, 0.0, 0.0]",2,-2.8,"[1.02, 1.285, 1.08, -1.405, 1.52, 1.18, 0.0, 0.0]",False
"[-1.05, 0.75, -1.15, -1.15, 1.05, 1.12, 0.0, 0.0]",2,-2.8,"[-1.03, 0.74, -1.16, -1.16, 1.06, 1.13, 0.0, 0.0]",False
"[-1.206, 0.047, 0.342, 0.464, -1.206, 0.42, 0.0, 0.0]",2,-2.8,"[-1.212, 0.045, 0.326, 0.48, -1.217, 0.419, 0.0, 0.0]",False
"[-1.1, 0.8, 0.7, -1.9, 0.8, 1.3, 0.0, 0.0]",2,-2.9,"[-1.12, 0.785, 0.69, -1.905, 0.82, 1.28, 0.0, 0.0]",False
"[-1.214, 0.042, 0.35, 0.455, -1.214, 0.43, 0.0, 0.0]",2,-2.9,"[-1.22, 0.04, 0.346, 0.472, -1.225, 0.428, 0.0, 0.0]",False
"[-1.35, 1.35, 0.95, -1.08, 0.75, 0.82, 0.0, 0.0]",2,-3.0,"[-1.36, 1.34, 0.94, -1.09, 0.76, 0.83, 0.0, 0.0]",False
"[-1.222, 0.037, 0.354, 0.429, -1.222, 0.422, 0.0, 0.0]",3,-3.0,"[-1.228, 0.035, 0.368, 0.441, -1.212, 0.415, 0.0, 0.0]",False
"[-1.23, 0.033, 0.368, 0.393, -1.23, 0.412, 0.0, 0.0]",1,-3.1,"[-1.225, 0.031, 0.352, 0.401, -1.24, 0.404, 0.0, 0.0]",False
"[1.75, 0.65, 1.25, 0.95, -1.65, 1.35, 0.0, 0.0]",0,-3.2,"[1.77, 0.64, 1.2, 1.0, -1.67, 1.4, 0.0, 0.0]",False
"[1.2, 1.2, -1.4, -1.5, 1.0, -1.8, 0.0, 0.0]",0,-3.2,"[1.2, 1.185, -1.41, -1.505, 1.0, -1.81, 0.0, 0.0]",False
"[0.32, 0.65, 1.18, -1.32, 0.95, 1.02, 0.0, 0.0]",2,-3.2,"[0.31, 0.64, 1.19, -1.34, 0.96, 1.03, 0.0, 0.0]",False
"[-1.05, 0.85, 0.12, -1.23, 0.15, -2.1, 0.0, 0.0]",1,-3.2,"[-1.08, 0.84, 0.08, -1.24, 0.18, -2.05, 0.0, 0.0]",False
"[0.8, 1.2, -1.3, -1.0, -1.2, 0.8, 0.0, 0.0]",3,-3.5,"[0.82, 1.185, -1.32, -1.005, -1.18, 0.85, 0.0, 0.0]",False
"[0.78, 0.85, -1.35, -1.22, -1.15, -1.22, 0.0, 0.0]",3,-3.5,"[0.79, 0.84, -1.34, -1.23, -1.14, -1.21, 0.0, 0.0]",False
"[0.45, 0.95, -1.25, -1.05, -1.34, -1.48, 0.0, 0.0]",2,-3.8,"[0.44, 0.94, -1.27, -1.07, -1.35, -1.49, 0.0, 0.0]",False
"[-1.8, 1.25, 1.1, 0.55, 0.75, -1.9, 0.0, 0.0]",2,-3.9,"[-1.82, 1.24, 1.15, 0.5, 0.73, -1.95, 0.0, 0.0]",False
"[0.3, 1.5, 1.6, -1.3, -1.5, -1.2, 0.0, 0.0]",1,-4.0,"[0.28, 1.485, 1.58, -1.305, -1.52, -1.18, 0.0, 0.0]",False
"[0.55, 1.12, 1.05, -1.38, -1.45, -1.52, 0.0, 0.0]",0,-4.0,"[0.56, 1.11, 1.04, -1.39, -1.46, -1.53, 0.0, 0.0]",False
"[0.12, 1.08, 0.35, -1.15, -1.8, 0.85, 0.0, 0.0]",2,-4.1,"[0.13, 1.07, 0.4, -1.2, -1.82, 0.9, 0.0, 0.0]",False
"[-1.2, 0.9, 0.9, -1.8, 0.5, -1.4, 0.0, 0.0]",0,-4.2,"[-1.2, 0.87, 0.92, -1.82, 0.5, -1.41, 0.0, 0.0]",False
"[0.88, 1.05, -1.42, -1.28, 1.15, 1.22, 0.0, 0.0]",3,-4.2,"[0.89, 1.04, -1.41, -1.29, 1.16, 1.23, 0.0, 0.0]",False
"[-1.35, 1.12, -1.55, -1.05, 1.9, -2.45, 0.0, 0.0]",2,-4.5,"[-1.37, 1.11, -1.6, -1.1, 1.92, -2.5, 0.0, 0.0]",False
"[-1.1, 1.25, 0.85, -1.45, -1.05, -1.12, 0.0, 0.0]",0,-4.5,"[-1.11, 1.24, 0.84, -1.47, -1.06, -1.13, 0.0, 0.0]",False
"[0.65, 0.88, -2.05, 0.65, 1.4, 0.25, 0.0, 0.0]",1,-4.7,"[0.64, 0.87, -2.1, 0.6, 1.42, 0.3, 0.0, 0.0]",False
"[-2.1, 1.4, 0.5, -1.0, 0.2, -2.5, 0.0, 0.0]",3,-4.8,"[-2.12, 1.38, 0.48, -1.04, 0.22, -2.48, 0.0, 0.0]",False
"[0.9, 1.0, 1.8, -1.7, -1.3, 1.5, 0.0, 0.0]",3,-4.8,"[0.92, 0.985, 1.79, -1.705, -1.28, 1.55, 0.0, 0.0]",False
"[-1.45, 1.15, 1.25, -1.18, 1.25, 1.32, 0.0, 0.0]",1,-4.8,"[-1.43, 1.14, 1.24, -1.19, 1.24, 1.31, 0.0, 0.0]",False
"[-1.567, 1.234, 2.345, -1.456, 0.789, -2.012, 0.0, 0.0]",2,-4.9,"[-1.572, 1.227, 2.32, -1.471, 0.8, -2.025, 0.0, 0.0]",False
"[-1.67, 1.22, 0.56, -1.45, -2.9, 1.23, 0.0, 0.0]",1,-4.9,"[-1.7, 1.21, 0.52, -1.46, -2.92, 1.26, 0.0, 0.0]",False
"[0.316, 1.05, -1.402, -1.371, 0.593, -1.484, 0.0, 0.0]",2,-1.2,"[0.312, 1.041, -1.447, -1.371, 0.569, -1.484, 0.0, 0.0]",False
"[0.365, 1.05, -1.02, -1.21, 0.34, -1.23, 0.0, 0.0]",3,-1.2,"[0.365, 1.042, -1.01, -1.23, 0.35, -1.28, 0.0, 0.0]",False
"[0.312, 1.041, -1.447, -1.371, 0.569, -1.484, 0.0, 0.0]",3,-1.25,"[0.308, 1.032, -1.441, -1.393, 0.543, -1.534, 0.0, 0.0]",False
"[0.308, 1.032, -1.441, -1.393, 0.543, -1.534, 0.0, 0.0]",3,-1.3,"[0.304, 1.023, -1.434, -1.415, 0.517, -1.584, 0.0, 0.0]",False
"[0.365, 1.042, -1.01, -1.23, 0.35, -1.28, 0.0, 0.0]",2,-1.3,"[0.365, 1.034, -1.05, -1.24, 0.36, -1.32, 0.0, 0.0]",False
"[0.304, 1.023, -1.434, -1.415, 0.517, -1.584, 0.0, 0.0]",2,-1.35,"[0.3, 1.014, -1.479, -1.415, 0.493, -1.584, 0.0, 0.0]",False
"[0.3, 1.014, -1.479, -1.415, 0.493, -1.584, 0.0, 0.0]",3,-1.4,"[0.296, 1.005, -1.473, -1.437, 0.467, -1.634, 0.0, 0.0]",False
"[0.365, 1.034, -1.05, -1.24, 0.36, -1.32, 0.0, 0.0]",3,-1.4,"[0.365, 1.026, -1.04, -1.26, 0.37, -1.37, 0.0, 0.0]",False
"[0.296, 1.005, -1.473, -1.437, 0.467, -1.634, 0.0, 0.0]",3,-1.45,"[0.292, 0.996, -1.466, -1.459, 0.441, -1.684, 0.0, 0.0]",False
"[0.292, 0.996, -1.466, -1.459, 0.441, -1.684, 0.0, 0.0]",2,-1.5,"[0.288, 0.987, -1.511, -1.459, 0.417, -1.684, 0.0, 0.0]",False
"[0.365, 1.026, -1.04, -1.26, 0.37, -1.37, 0.0, 0.0]",1,-1.5,"[0.365, 1.018, -1.07, -1.27, 0.38, -1.41, 0.0, 0.0]",False
"[0.288, 0.987, -1.511, -1.459, 0.417, -1.684, 0.0, 0.0]",3,-1.55,"[0.284, 0.978, -1.505, -1.481, 0.391, -1.734, 0.0, 0.0]",False
"[0.278, 0.969, -1.11, -1.06, 0.39, -1.3, 0.0, 0.0]",2,-1.6,"[0.273, 0.96, -1.15, -1.04, 0.37, -1.26, 0.0, 0.0]",False
"[0.284, 0.978, -1.505, -1.481, 0.391, -1.734, 0.0, 0.0]",2,-1.6,"[0.28, 0.969, -1.55, -1.481, 0.367, -1.734, 0.0, 0.0]",False
"[0.365, 1.018, -1.07, -1.27, 0.38, -1.41, 0.0, 0.0]",3,-1.6,"[0.365, 1.01, -1.06, -1.29, 0.39, -1.46, 0.0, 0.0]",False
"[0.28, 0.969, -1.55, -1.481, 0.367, -1.734, 0.0, 0.0]",3,-1.65,"[0.276, 0.96, -1.544, -1.503, 0.341, -1.784, 0.0, 0.0]",False
"[0.365, 1.01, -1.06, -1.29, 0.39, -1.46, 0.0, 0.0]",2,-1.7,"[0.365, 1.002, -1.1, -1.3, 0.4, -1.5, 0.0, 0.0]",False
"[0.365, 1.002, -1.1, -1.3, 0.4, -1.5, 0.0, 0.0]",3,-1.8,"[0.365, 0.994, -1.09, -1.32, 0.41, -1.55, 0.0, 0.0]",False
"[0.365, 0.994, -1.09, -1.32, 0.41, -1.55, 0.0, 0.0]",2,-1.9,"[0.365, 0.986, -1.13, -1.33, 0.42, -1.59, 0.0, 0.0]",False
"[0.282, 0.978, -1.11, -1.04, 0.41, -1.25, 0.0, 0.0]",3,-2.0,"[0.278, 0.969, -1.11, -1.06, 0.39, -1.3, 0.0, 0.0]",False
"[0.365, 0.986, -1.13, -1.33, 0.42, -1.59, 0.0, 0.0]",1,-2.0,"[0.365, 0.978, -1.16, -1.34, 0.43, -1.63, 0.0, 0.0]",False
"[0.316, 1.05, -1.041, -1.373, 0.593, -1.484, 0.0, 0.0]",3,-2.1,"[0.312, 1.041, -1.034, -1.395, 0.569, -1.531, 0.0, 0.0]",False
"[0.316, 1.05, -1.0, -1.0, 0.593, -1.0, 0.0, 0.0]",2,-2.1,"[0.312, 1.041, -1.0, -1.0, 0.569, -1.0, 0.0, 0.0]",False
"[0.312, 1.041, -1.0, -1.0, 0.569, -1.0, 0.0, 0.0]",3,-2.1,"[0.309, 1.032, -1.0, -1.0, 0.544, -1.0, 0.0, 0.0]",False
"[0.309, 1.032, -1.0, -1.0, 0.544, -1.0, 0.0, 0.0]",3,-2.1,"[0.305, 1.023, -1.0, -1.0, 0.519, -1.0, 0.0, 0.0]",False
"[0.305, 1.023, -1.0, -1.0, 0.519, -1.0, 0.0, 0.0]",2,-2.1,"[0.301, 1.014, -1.0, -1.0, 0.494, -1.0, 0.0, 0.0]",False
"[0.301, 1.014, -1.0, -1.0, 0.494, -1.0, 0.0, 0.0]",3,-2.1,"[0.297, 1.005, -1.0, -1.0, 0.469, -1.0, 0.0, 0.0]",False
"[0.297, 1.005, -1.0, -1.0, 0.469, -1.0, 0.0, 0.0]",3,-2.1,"[0.293, 0.996, -1.0, -1.0, 0.444, -1.0, 0.0, 0.0]",False
"[0.293, 0.996, -1.0, -1.0, 0.444, -1.0, 0.0, 0.0]",2,-2.1,"[0.289, 0.987, -1.0, -1.0, 0.419, -1.0, 0.0, 0.0]",False
"[0.289, 0.987, -1.0, -1.0, 0.419, -1.0, 0.0, 0.0]",3,-2.1,"[0.285, 0.978, -1.0, -1.0, 0.394, -1.0, 0.0, 0.0]",False
"[0.285, 0.978, -1.0, -1.0, 0.394, -1.0, 0.0, 0.0]",3,-2.1,"[0.281, 0.969, -1.0, -1.0, 0.369, -1.0, 0.0, 0.0]",False
"[0.281, 0.969, -1.0, -1.0, 0.369, -1.0, 0.0, 0.0]",2,-2.1,"[0.277, 0.96, -1.0, -1.0, 0.344, -1.0, 0.0, 0.0]",False
"[0.365, 0.978, -1.16, -1.34, 0.43, -1.63, 0.0, 0.0]",3,-2.1,"[0.365, 0.97, -1.15, -1.36, 0.44, -1.68, 0.0, 0.0]",False
"[0.316, 1.05, -1.402, -1.371, 0.593, -1.484, 0.0, 0.0]",2,-2.1,"[0.312, 1.041, -1.447, -1.371, 0.568, -1.49, 0.0, 0.0]",False
"[0.316, 1.05, -1.402, -1.371, 0.593, -1.484, 0.0, 0.0]",2,-2.1,"[0.311, 1.039, -1.447, -1.386, 0.569, -1.492, 0.0, 0.0]",False
"[0.316, 1.05, -1.402, -1.371, 0.593, -4.84, 0.0, 0.0]",2,-2.1,"[0.311, 1.041, -1.447, -1.38, 0.568, -4.89, 0.0, 0.0]",False
"[0.311, 1.041, -1.447, -1.38, 0.568, -4.89, 0.0, 0.0]",3,-2.1,"[0.306, 1.032, -1.44, -1.402, 0.541, -4.93, 0.0, 0.0]",False
"[0.311, 1.039, -1.447, -1.386, 0.569, -1.492, 0.0, 0.0]",3,-2.15,"[0.305, 1.028, -1.439, -1.408, 0.544, -1.532, 0.0, 0.0]",False
"[0.312, 1.041, -1.034, -1.395, 0.569, -1.531, 0.0, 0.0]",3,-2.2,"[0.308, 1.032, -1.027, -1.416, 0.544, -1.578, 0.0, 0.0]",False
"[0.312, 1.041, -1.447, -1.371, 0.568, -1.49, 0.0, 0.0]",3,-2.2,"[0.308, 1.032, -1.441, -1.393, 0.542, -1.536, 0.0, 0.0]",False
"[0.305, 1.028, -1.439, -1.408, 0.544, -1.532, 0.0, 0.0]",3,-2.2,"[0.299, 1.016, -1.432, -1.431, 0.519, -1.573, 0.0, 0.0]",False
"[0.306, 1.032, -1.44, -1.402, 0.541, -4.93, 0.0, 0.0]",3,-2.2,"[0.301, 1.023, -1.434, -1.424, 0.514, -4.97, 0.0, 0.0]",False
"[0.301, 1.023, -1.434, -1.424, 0.514, -4.97, 0.0, 0.0]",2,-2.2,"[0.296, 1.014, -1.479, -1.433, 0.489, -5.02, 0.0, 0.0]",False
"[0.296, 1.014, -1.479, -1.433, 0.489, -5.02, 0.0, 0.0]",1,-2.2,"[0.291, 1.005, -1.534, -1.422, 0.514, -4.97, 0.0, 0.0]",False
"[0.299, 1.016, -1.432, -1.431, 0.519, -1.573, 0.0, 0.0]",2,-2.25,"[0.293, 1.004, -1.477, -1.446, 0.494, -1.58, 0.0, 0.0]",False
"[0.308, 1.032, -1.027, -1.416, 0.544, -1.578, 0.0, 0.0]",3,-2.3,"[0.304, 1.023, -1.02, -1.438, 0.519, -1.625, 0.0, 0.0]",False
"[0.304, 1.023, -1.02, -1.438, 0.519, -1.625, 0.0, 0.0]",2,-2.3,"[0.3, 1.014, -1.065, -1.438, 0.494, -1.639, 0.0, 0.0]",False
"[0.308, 1.032, -1.441, -1.393, 0.542, -1.536, 0.0, 0.0]",3,-2.3,"[0.304, 1.023, -1.435, -1.415, 0.515, -1.582, 0.0, 0.0]",False
"[0.293, 1.004, -1.477, -1.446, 0.494, -1.58, 0.0, 0.0]",3,-2.3,"[0.286, 0.991, -1.47, -1.469, 0.468, -1.621, 0.0, 0.0]",False
"[0.291, 1.005, -1.534, -1.422, 0.514, -4.97, 0.0, 0.0]",2,-2.3,"[0.285, 0.996, -1.579, -1.431, 0.489, -5.02, 0.0, 0.0]",False
"[0.005, 1.41, -1.01, -1.05, 0.0, 0.0, 0.0, 0.0]",1,-1.07,"[0.003, 1.405, -1.08, -1.03, -1.02, 0.0, 0.0, 0.0]",False
"[0.003, 1.405, -1.08, -1.03, -1.02, 0.0, 0.0, 0.0]",2,-1.1,"[0.001, 1.399, -1.15, -1.01, -1.04, 0.0, 0.0, 0.0]",False
"[0.001, 1.399, -1.15, -1.01, -1.04, 0.0, 0.0, 0.0]",3,-1.12,"[-2.0, 1.392, -1.12, -1.04, -1.06, 0.0, 0.0, 0.0]",False
"[-2.0, 1.392, -1.12, -1.04, -1.06, 0.0, 0.0, 0.0]",2,-1.15,"[-1.98, 1.384, -1.18, -1.02, -1.08, 0.0, 0.0, 0.0]",False
"[-1.98, 1.384, -1.18, -1.02, -1.08, 0.0, 0.0, 0.0]",1,-1.18,"[-1.96, 1.376, -1.25, -1.0, -1.1, 0.0, 0.0, 0.0]",False
"[-1.96, 1.376, -1.25, -1.0, -1.1, 0.0, 0.0, 0.0]",3,-1.21,"[-1.94, 1.368, -1.22, -1.03, -1.12, 0.0, 0.0, 0.0]",False
"[-1.94, 1.368, -1.22, -1.03, -1.12, 0.0, 0.0, 0.0]",2,-1.24,"[-1.92, 1.36, -1.28, -1.01, -1.14, 0.0, 0.0, 0.0]",False
"[-1.92, 1.36, -1.28, -1.01, -1.14, 0.0, 0.0, 0.0]",1,-1.27,"[-1.9, 1.352, -1.35, -1.0, -1.16, 0.0, 0.0, 0.0]",False
"[-1.9, 1.352, -1.35, -1.0, -1.16, 0.0, 0.0, 0.0]",3,-1.3,"[-1.88, 1.344, -1.32, -1.02, -1.18, 0.0, 0.0, 0.0]",False
"[-1.88, 1.344, -1.32, -1.02, -1.18, 0.0, 0.0, 0.0]",2,-1.33,"[-1.86, 1.336, -1.38, -1.01, -1.2, 0.0, 0.0, 0.0]",False
"[0.0, 1.393, -0.211, -0.379, 0.526, -0.317, 0.0, 0.0]",3,-2.15,"[-0.002, 1.385, -0.207, -0.403, 0.522, -0.356, 0.0, 0.0]",False
"[-0.002, 1.385, -0.207, -0.403, 0.522, -0.356, 0.0, 0.0]",2,-2.18,"[-0.005, 1.377, -0.212, -0.401, 0.518, -0.345, 0.0, 0.0]",False
"[-0.005, 1.377, -0.212, -0.401, 0.518, -0.345, 0.0, 0.0]",1,-2.21,"[-0.008, 1.37, -0.167, -0.405, 0.514, -0.384, 0.0, 0.0]",False
"[-0.008, 1.37, -0.167, -0.405, 0.514, -0.384, 0.0, 0.0]",3,-2.24,"[-0.011, 1.363, -0.159, -0.428, 0.51, -0.423, 0.0, 0.0]",False
"[-0.011, 1.363, -0.159, -0.428, 0.51, -0.423, 0.0, 0.0]",2,-2.27,"[-0.014, 1.355, -0.204, -0.423, 0.506, -0.411, 0.0, 0.0]",False
"[-0.014, 1.355, -0.204, -0.423, 0.506, -0.411, 0.0, 0.0]",3,-2.3,"[-0.017, 1.347, -0.194, -0.446, 0.502, -0.45, 0.0, 0.0]",False
"[-0.017, 1.347, -0.194, -0.446, 0.502, -0.45, 0.0, 0.0]",2,-2.33,"[-0.02, 1.339, -0.239, -0.441, 0.498, -0.438, 0.0, 0.0]",False
"[-0.02, 1.339, -0.239, -0.441, 0.498, -0.438, 0.0, 0.0]",1,-2.36,"[-0.023, 1.332, -0.184, -0.445, 0.494, -0.477, 0.0, 0.0]",False
"[-0.023, 1.332, -0.184, -0.445, 0.494, -0.477, 0.0, 0.0]",3,-2.39,"[-0.026, 1.324, -0.176, -0.468, 0.49, -0.516, 0.0, 0.0]",False
"[-0.026, 1.324, -0.176, -0.468, 0.49, -0.516, 0.0, 0.0]",2,-2.42,"[-0.029, 1.316, -0.221, -0.463, 0.486, -0.504, 0.0, 0.0]",False
"[-1.0, 1.4, -1.2, -1.1, 0.3, 0.8, 0.0, 0.0]",1,-2.8,"[-1.02, 1.39, -1.15, -1.18, 0.28, 0.75, 0.0, 0.0]",False
"[0.018, 1.449, -0.165, -0.269, 0.599, -0.064, 0.0, 0.0]",1,-2.8,"[0.017, 1.443, -0.173, -0.259, 0.595, -0.11, 0.0, 0.0]",False
"[-1.02, 1.39, -1.15, -1.18, 0.28, 0.75, 0.0, 0.0]",2,-3.0,"[-1.04, 1.38, -1.2, -1.22, 0.25, 0.72, 0.0, 0.0]",False
"[-1.04, 1.38, -1.2, -1.22, 0.25, 0.72, 0.0, 0.0]",3,-3.1,"[-1.06, 1.37, -1.18, -1.25, 0.22, 0.69, 0.0, 0.0]",False
"[0.0, 1.399, -1.21, -2.49, 0.527, -1.25, 0.0, 0.0]",2,-3.1,"[-1.003, 1.39, -1.26, -2.47, 0.511, -1.27, 0.0, 0.0]",False
"[0.017, 1.443, -0.173, -0.259, 0.595, -0.11, 0.0, 0.0]",2,-3.1,"[0.015, 1.438, -0.219, -0.234, 0.592, -0.106, 0.0, 0.0]",False
"[0.014, 1.446, -1.13, -2.37, 0.597, -1.152, 0.0, 0.0]",3,-3.1,"[0.012, 1.44, -1.124, -2.404, 0.591, -1.189, 0.0, 0.0]",False
"[0.018, 1.449, -1.165, -2.269, 0.599, -1.064, 0.0, 0.0]",2,-3.2,"[0.016, 1.444, -1.211, -2.244, 0.596, -1.059, 0.0, 0.0]",False
"[-1.06, 1.37, -1.18, -1.25, 0.22, 0.69, 0.0, 0.0]",3,-3.2,"[-1.08, 1.36, -1.16, -1.28, 0.19, 0.66, 0.0, 0.0]",False
"[0.015, 1.452, -1.12, -2.34, 0.601, -1.108, 0.0, 0.0]",1,-3.2,"[0.014, 1.446, -1.13, -2.37, 0.597, -1.152, 0.0, 0.0]",False
"[0.018, 1.449, -1.165, -2.269, 0.599, -1.064, 0.0, 0.0]",2,-3.3,"[0.016, 1.444, -1.211, -2.244, 0.596, -1.059, 0.0, 0.0]",False
"[-1.08, 1.36, -1.16, -1.28, 0.19, 0.66, 0.0, 0.0]",2,-3.3,"[-1.1, 1.35, -1.21, -1.3, 0.16, 0.63, 0.0, 0.0]",False
"[0.003, 1.407, -1.22, -2.45, 0.543, -1.21, 0.0, 0.0]",3,-3.3,"[0.0, 1.399, -1.21, -2.49, 0.527, -1.25, 0.0, 0.0]",False
"[0.012, 1.44, -1.124, -2.404, 0.591, -1.189, 0.0, 0.0]",2,-3.3,"[0.009, 1.433, -1.171, -2.399, 0.582, -1.203, 0.0, 0.0]",False
"[0.016, 1.444, -1.211, -2.244, 0.596, -1.059, 0.0, 0.0]",3,-3.4,"[0.014, 1.438, -1.204, -2.267, 0.592, -1.097, 0.0, 0.0]",False
"[0.016, 1.444, -1.211, -2.244, 0.596, -1.059, 0.0, 0.0]",3,-3.4,"[0.014, 1.438, -1.204, -2.267, 0.592, -1.097, 0.0, 0.0]",False
"[-1.1, 1.35, -1.21, -1.3, 0.16, 0.63, 0.0, 0.0]",1,-3.4,"[-1.12, 1.34, -1.24, -1.32, 0.13, 0.6, 0.0, 0.0]",False
"[0.015, 1.438, -0.219, -0.234, 0.592, -0.106, 0.0, 0.0]",3,-3.4,"[0.013, 1.432, -0.212, -0.257, 0.588, -0.144, 0.0, 0.0]",False
"[0.009, 1.433, -1.171, -2.399, 0.582, -1.203, 0.0, 0.0]",3,-3.4,"[0.006, 1.425, -1.165, -2.433, 0.57, -1.241, 0.0, 0.0]",False
"[0.019, 1.455, -1.157, -2.239, 0.603, -1.108, 0.0, 0.0]",1,-3.5,"[0.018, 1.449, -1.165, -2.269, 0.599, -1.064, 0.0, 0.0]",False
"[0.014, 1.438, -1.204, -2.267, 0.592, -1.097, 0.0, 0.0]",3,-3.5,"[0.012, 1.431, -1.196, -2.291, 0.585, -1.136, 0.0, 0.0]",False
"[0.019, 1.455, -1.157, -2.239, 0.603, -1.108, 0.0, 0.0]",1,-3.5,"[0.018, 1.449, -1.165, -2.269, 0.599, -1.064, 0.0, 0.0]",False
"[-1.12, 1.34, -1.24, -1.32, 0.13, 0.6, 0.0, 0.0]",3,-3.5,"[-1.14, 1.33, -1.22, -1.35, 0.1, 0.57, 0.0, 0.0]",False
"[0.006, 1.415, -1.17, -2.47, 0.558, -1.19, 0.0, 0.0]",2,-3.5,"[0.003, 1.407, -1.22, -2.45, 0.543, -1.21, 0.0, 0.0]",False
"[0.006, 1.425, -1.165, -2.433, 0.57, -1.241, 0.0, 0.0]",1,-3.5,"[0.003, 1.417, -1.174, -2.462, 0.556, -1.277, 0.0, 0.0]",False
"[0.012, 1.431, -1.196, -2.291, 0.585, -1.136, 0.0, 0.0]",3,-3.6,"[0.01, 1.424, -1.19, -2.314, 0.576, -1.173, 0.0, 0.0]",False
"[0.01, 1.424, -1.19, -2.314, 0.576, -1.173, 0.0, 0.0]",2,-3.6,"[0.007, 1.417, -1.238, -2.309, 0.567, -1.187, 0.0, 0.0]",False
"[0.014, 1.438, -1.204, -2.267, 0.592, -1.097, 0.0, 0.0]",3,-3.6,"[0.012, 1.431, -1.196, -2.291, 0.585, -1.136, 0.0, 0.0]",False
"[-1.14, 1.33, -1.22, -1.35, 0.1, 0.57, 0.0, 0.0]",2,-3.6,"[-1.16, 1.32, -1.27, -1.37, 0.07, 0.54, 0.0, 0.0]",False
"[0.003, 1.417, -1.174, -2.462, 0.556, -1.277, 0.0, 0.0]",2,-3.6,"[0.0, 1.408, -1.221, -2.457, 0.541, -1.291, 0.0, 0.0]",False
"[0.119, 0.336, 0.2, -1.27, -1.27, -1.27, -1.27, -1.27]",1,-1.01,"[0.121, 0.333, 0.196, -1.297, -1.297, -1.297, -1.297, -1.297]",False
"[0.119, 0.336, 0.2, -1.23, -1.27, -1.563, 0.0, 0.0]",1,-1.02,"[0.121, 0.333, 0.195, -1.245, -1.297, -1.503, 0.0, 0.0]",False
"[0.119, 0.336, 0.2, -1.23, -1.27, -1.563, 0.0, 0.0]",1,-1.03,"[0.121, 0.334, 0.195, -1.25, -1.3, -1.5, 0.0, 0.0]",False
"[0.119, 0.336, 0.2, -1.23, -1.27, -1.563, 0.0, 0.0]",1,-1.03,"[0.121, 0.334, 0.195, -1.25, -1.3, -1.502, 0.0, 0.0]",False
"[0.121, 0.333, 0.196, -1.297, -1.297, -1.297, -1.297, -1.297]",2,-1.04,"[0.123, 0.33, 0.191, -1.324, -1.324, -1.324, -1.324, -1.324]",False
"[0.125, 0.33, 0.183, -1.29, -1.36, -1.58, 0.0, 0.0]",3,-1.06,"[0.127, 0.328, 0.177, -1.31, -1.39, -1.619, 0.0, 0.0]",False
"[0.123, 0.33, 0.191, -1.324, -1.324, -1.324, -1.324, -1.324]",2,-1.07,"[0.125, 0.327, 0.186, -1.351, -1.351, -1.351, -1.351, -1.351]",False
"[0.129, 0.326, 0.171, -1.33, -1.42, -1.658, 0.0, 0.0]",1,-1.08,"[0.131, 0.324, 0.165, -1.35, -1.45, -1.597, 0.0, 0.0]",False
"[0.125, 0.327, 0.186, -1.351, -1.351, -1.351, -1.351, -1.351]",1,-1.1,"[0.127, 0.324, 0.181, -1.378, -1.378, -1.378, -1.378, -1.378]",False
"[0.121, 0.335, 0.196, -1.141, -1.297, -1.503, 0.0, 0.0]",1,-1.12,"[0.123, 0.333, 0.192, -1.159, -1.324, -1.444, 0.0, 0.0]",False
"[0.137, 0.318, 0.147, -1.41, -1.54, -1.714, 0.0, 0.0]",1,-1.13,"[0.139, 0.316, 0.141, -1.43, -1.57, -1.653, 0.0, 0.0]",False
"[0.127, 0.324, 0.181, -1.378, -1.378, -1.378, -1.378, -1.378]",1,-1.13,"[0.129, 0.321, 0.176, -1.405, -1.405, -1.405, -1.405, -1.405]",False
"[0.129, 0.321, 0.176, -1.405, -1.405, -1.405, -1.405, -1.405]",2,-1.16,"[0.131, 0.318, 0.171, -1.432, -1.432, -1.432, -1.432, -1.432]",False
"[0.131, 0.318, 0.171, -1.432, -1.432, -1.432, -1.432, -1.432]",3,-1.19,"[0.133, 0.315, 0.166, -1.459, -1.459, -1.459, -1.459, -1.459]",False
"[0.119, 0.336, 0.2, -1.23, -1.27, -1.563, 0.0, 0.0]",1,-1.2,"[0.121, 0.334, 0.195, -1.25, -1.3, -1.503, 0.0, 0.0]",False
"[0.133, 0.315, 0.166, -1.459, -1.459, -1.459, -1.459, -1.459]",2,-1.22,"[0.135, 0.312, 0.161, -1.486, -1.486, -1.486, -1.486, -1.486]",False
"[0.123, 0.333, 0.192, -1.159, -1.324, -1.444, 0.0, 0.0]",2,-1.25,"[0.125, 0.331, 0.187, -1.179, -1.352, -1.385, 0.0, 0.0]",False
"[0.121, 0.334, 0.195, -1.25, -1.3, -1.503, 0.0, 0.0]",1,-1.25,"[0.123, 0.331, 0.19, -1.27, -1.33, -1.442, 0.0, 0.0]",False
"[0.135, 0.312, 0.161, -1.486, -1.486, -1.486, -1.486, -1.486]",2,-1.25,"[0.137, 0.309, 0.156, -1.513, -1.513, -1.513, -1.513, -1.513]",False
"[0.137, 0.309, 0.156, -1.513, -1.513, -1.513, -1.513, -1.513]",1,-1.28,"[0.139, 0.306, 0.151, -1.54, -1.54, -1.54, -1.54, -1.54]",False
